treatmentgroup,replicate,period,color,treatment,level,headRFP,headGFP,bodyRFP,bodyGFP,gaster,other,antenna,head,selfG,groomIn,groomOut,totGroomIn,totGroomOut,groomToR,groomToG,groomToT,rankGroomInGeneral,rankGroomInParticular,rankGroomOutGeneral,rankGroomOutParticular,
LTx,8,PRE,orange,T,X,0,0,0,0,0.00813095880554,0.0,0.00554056484979,0.050944414463,0.0068717395215,0.0949451340169,0.400107933081,0.101816873538,0.406979672603,0.000467710019788,0.0,0.0068717395215,3.0,2.0,3.0,2.0,
LTx,8,PRE,red,N,X,2925,0,0,0,0.0155783414283,0.0,0.00381363554596,0.0589674401871,0.00910235653895,1.24331714337,0.010577441986,1.25241949991,0.0196797985249,0.0,0.0,0.0,1.0,1.0,6.0,4.0,
LTx,8,PRE,purple,N,X,0,0,0,0,0.0,0.0,0.0211548839719,0.092390717755,0.00737542723511,0.0720633207411,0.0985069257061,0.0794387479763,0.105882352941,0.0155423637345,0.0,0.0123763266775,4.0,2.0,4.0,2.0,
LTx,8,PRE,blue,N,X,725,0,0,0,0.0129519697787,0.0,0.00582838640043,0.0666666666667,0.0162619176111,0.0698327037237,0.541392336751,0.0860946213348,0.557654254362,0.117575103436,0.0,0.0492174851592,5.0,3.0,1.0,1.0,
LTx,8,PRE,green,R,L,2800,0,6800,0,0.00381363554596,0.0,0.00561252023745,0.0713077891707,0.0724590753733,0.13358517719,0.518150746537,0.206044252563,0.59060982191,0.0724590753733,0.0,0.0333513221802,2.0,1.0,2.0,1.0,
LTx,8,POST,yellow,N,X,6850,0,0,0,0.00205371248025,0.0,0.0202090168915,0.247915907158,0.0392149714425,0.0162109612347,0.045230283145,0.0554259326771,0.0844452545874,0.0297362984567,0.0,0.0154939846883,5.0,3.0,5.0,4.0,
LTx,8,POST,orange,T,X,0,0,0,0,0.00489731437599,0.0,0.000899258719164,0.0423866812492,0.00280714546117,0.639397253615,0.0,0.642204399076,0.00280714546117,0.0,0.0,0.00280714546117,1.0,1.0,6.0,2.0,
LTx,8,POST,red,N,X,2925,0,0,0,0.00189573459716,0.000328107911046,0.0109612346579,0.113962814437,0.0230526187872,0.10623405031,0.451804593511,0.129286669097,0.474857212298,0.0394094057601,0.0,0.384141450966,4.0,2.0,2.0,2.0,
LTx,8,POST,purple,N,X,0,0,0,0,0.00137319236845,0.0,0.0210961234658,0.164345607,0.0438570907765,0.109478672986,0.0542107181918,0.153335763762,0.0980678089683,0.000692672256653,0.0,0.036262000243,3.0,1.0,4.0,3.0,
LTx,8,POST,blue,N,X,725,0,0,0,0.00196864746628,0.0,0.00915056507474,0.0749301251671,0.0183497387289,0.00894397861223,0.519978126139,0.0272937173411,0.538327864868,0.353834001701,0.0,0.0728521083971,6.0,4.0,1.0,1.0,
LTx,8,POST,green,R,L,2800,0,6800,0,0.0192125410135,0.000121521448536,0.00386438206343,0.0838254951999,0.0320816624134,0.423672378175,0.232713573946,0.455754040588,0.264795236359,0.0320816624134,0.0,0.130647709321,2.0,2.0,3.0,1.0,
LTx,9,PRE,yellow,T,X,0,0,0,0,0.00602492597948,0.0,0.0171107897817,0.0607656820216,0.0158369482889,0.00970873786408,0.180059216415,0.025545686153,0.195896164704,0.0,0.0,0.0158369482889,4.0,1.0,3.0,2.0,
LTx,9,PRE,orange,N,X,0,30200,0,0,0.00378709632996,0.0,0.00719548302692,0.107966673552,0.0304344832335,0.246367830338,0.262480203815,0.276802313572,0.292914687048,0.0,0.0,0.0,2.0,2.0,2.0,1.0,
LTx,9,PRE,red,N,X,0,0,0,0,0.00340838669696,0.0,0.0218618742684,0.0937478482407,0.00588721338566,0.0,0.122151070715,0.00588721338566,0.128038284101,0.0,0.0,0.00399366522068,6.0,4.0,5.0,3.0,
LTx,9,PRE,purple,G,L,0,34325,0,17725,0.00592164153412,0.0,0.00423466225986,0.0755697858569,0.00898574674654,0.0,0.426323762308,0.00898574674654,0.435309509055,0.0,0.00898574674654,0.00571507264339,5.0,2.0,1.0,1.0,
LTx,9,PRE,blue,N,X,0,0,0,0,0.00812504303519,0.0,0.010156303794,0.162191007368,0.0782896095848,0.0497486745163,0.167596226675,0.128038284101,0.24588583626,0.0,0.0,0.0,3.0,3.0,4.0,2.0,
LTx,9,PRE,green,N,X,0,1625,0,0,0.0126351304827,0.0,0.00636920746402,0.0420367692625,0.00963988156717,0.85278523721,0.0,0.862425118777,0.00963988156717,0.0,0.0,0.0,1.0,1.0,6.0,4.0,
LTx,9,POST,yellow,T,X,0,0,0,0,0.00966289935907,0.0,0.00545525710651,0.138044914135,0.0228974020255,0.297923088214,0.281777484221,0.320820490239,0.304674886247,0.0,0.174715005626,0.0228974020255,2.0,2.0,2.0,1.0,
LTx,9,POST,orange,N,X,0,30200,0,0,0.00116199422672,0.0,0.00612799060619,0.108089926122,0.0261632173785,0.0801531386076,0.511717794413,0.106316355986,0.537881011791,0.0,0.331400753462,0.129678555702,4.0,2.0,1.0,1.0,
LTx,9,POST,red,N,X,0,0,0,0,0.00288663828954,0.0,0.0205978766084,0.08087479818,0.0129287147121,0.0110939869857,0.210186408337,0.0240227016977,0.223115123049,0.0,0.0921889524928,0.0988184353442,6.0,4.0,4.0,3.0,
LTx,9,POST,purple,G,L,0,34325,0,17725,0.0199618376633,0.0,0.00132100396301,0.0885072655218,0.0432506482705,0.8646704829,0.0903175302118,0.907921131171,0.133568178482,0.0,0.0432506482705,0.0132222711483,1.0,1.0,5.0,2.0,
LTx,9,POST,blue,N,X,0,0,0,0,0.00664171436959,0.0,0.0119134987035,0.127611429131,0.0356548754831,0.0186652967366,0.278487205832,0.0543201722198,0.314142081315,0.0,0.228496991047,0.0316674005578,5.0,3.0,3.0,2.0,
