"treat","rep","color","strain","dose","spores"
"LTx",2,"green","R","L",370953.674176
"LTx",3,"yellow","T","X",0
"LTx",3,"orange","G","L",46361.587137
"LTx",3,"red","N","X",0
"LTx",3,"purple","N","X",0
"LTx",3,"blue","N","X",0
"LTx",3,"green","N","X",0
"LTx",4,"yellow","G","L",40682.077789
"LTx",4,"orange","N","X",0
"LTx",4,"red","N","X",0
"LTx",4,"purple","N","X",0
"LTx",4,"blue","T","X",0
"LTx",4,"green","N","X",0
"LTx",5,"yellow","N","X",0
"LTx",5,"orange","N","X",0
"LTx",5,"red","N","X",0
"LTx",5,"purple","T","X",0
"LTx",5,"blue","R","L",67277.432911
"LTx",5,"green","N","X",0
"LTx",7,"yellow","N","X",0
"LTx",7,"orange","R","L",76731.298072
"LTx",7,"red","N","X",0
"LTx",7,"purple","N","X",0
"LTx",7,"blue","T","X",0
"LTx",7,"green","N","X",0
"LTx",8,"yellow","N","X",0
"LTx",8,"orange","T","X",0
"LTx",8,"red","N","X",0
"LTx",8,"purple","N","X",0
"LTx",8,"blue","N","X",0
"LTx",8,"green","R","L",78121.826183
"LTx",9,"yellow","T","X",0
"LTx",9,"orange","N","X",0
"LTx",9,"red","N","X",0
"LTx",9,"purple","G","L",266083.449471
"LTx",9,"blue","N","X",0
"LTx",9,"green","N","X",0
"LTx",10,"yellow","N","X",0
"LTx",10,"orange","N","X",0
"LTx",10,"red","G","L",253811.500525
"LTx",10,"purple","N","X",0
"LTx",10,"blue","T","X",0
"LTx",10,"green","N","X",0
"LTx",11,"yellow","T","X",0
"LTx",11,"orange","R","L",147578.300023
"LTx",11,"red","N","X",0
"LTx",11,"purple","N","X",0
"LTx",11,"blue","N","X",0
"LTx",11,"green","N","X",0
"LTx",12,"yellow","N","X",0
"LTx",12,"orange","N","X",0
"LTx",12,"red","N","X",0
"LTx",12,"purple","T","X",0
"LTx",12,"blue","R","L",29962.167441
"LTx",12,"green","N","X",0
"LTx",13,"yellow","N","X",0
"LTx",13,"orange","G","L",100813.797835
"LTx",13,"red","N","X",0
"LTx",13,"purple","N","X",0
"LTx",13,"blue","T","X",0
"LTx",13,"green","N","X",0
"LTx",14,"yellow","N","X",0
"LTx",14,"orange","N","X",0
"LTx",14,"red","G","L",65227.819732
"LTx",14,"purple","T","X",0
"LTx",14,"blue","N","X",0
"LTx",14,"green","N","X",0
"LTx",15,"yellow","T","X",0
"LTx",15,"orange","N","X",0
"LTx",15,"red","G","L",65634.545873
"LTx",15,"purple","N","X",0
"LTx",15,"blue","N","X",0
"LTx",15,"green","N","X",0
"LTx",16,"yellow","G","L",87538.883402
"LTx",16,"orange","N","X",0
"LTx",16,"red","N","X",0
"LTx",16,"purple","N","X",0
"LTx",16,"blue","T","X",0
"LTx",16,"green","N","X",0
"LTx",17,"yellow","N","X",0
"LTx",17,"orange","N","X",0
"LTx",17,"red","T","X",0
"LTx",17,"purple","G","L",263902.892241
"LTx",17,"blue","N","X",0
"LTx",17,"green","N","X",0
"LTx",18,"yellow","G","L",153636.249858
"LTx",18,"orange","T","X",0
"LTx",18,"red","N","X",0
"LTx",18,"purple","N","X",0
"LTx",18,"blue","N","X",0
"LTx",18,"green","N","X",0
