Replicate,Dish,Colour,part,ch1,ch2
12,II,blue,head,0,0
12,II,blue,body,0,0
12,II,green,head,0,0
12,II,green,body,0,0
12,II,orange,head,0,0
12,II,orange,body,0,0
12,II,purple,head,0,0
12,II,purple,body,0,0
12,II,red,head,0,0
12,II,red,body,0,0
12,II,yellow,head,0,0
12,II,yellow,body,0,0
12,III,blue,head,17250,350
12,III,blue,body,35000,0
12,III,green,head,400,7950
12,III,green,body,0,11600
12,III,orange,head,0,500
12,III,orange,body,175,0
12,III,purple,head,4875,10250
12,III,purple,body,0,0
12,III,red,head,0,500
12,III,red,body,0,0
12,III,yellow,head,0,0
12,III,yellow,body,0,0
12,IV,blue,head,1000,0
12,IV,blue,body,5375,0
12,IV,green,head,0,0
12,IV,green,body,0,0
12,IV,orange,head,0,0
12,IV,orange,body,0,0
12,IV,purple,head,0,10950
12,IV,purple,body,0,36900
12,IV,red,head,3000,2900
12,IV,red,body,0,0
12,IV,yellow,head,2875,9250
12,IV,yellow,body,0,0
12,V,blue,head,3350,900
12,V,blue,body,16275,275
12,V,green,head,500,1250
12,V,green,body,0,0
12,V,orange,head,0,1800
12,V,orange,body,0,0
12,V,purple,head,4475,2675
12,V,purple,body,0,0
12,V,red,head,1225,10600
12,V,red,body,0,0
12,V,yellow,head,0,2050
12,V,yellow,body,1025,18250
12,VI,blue,head,1750,0
12,VI,blue,body,4450,0
12,VI,green,head,1000,0
12,VI,green,body,0,0
12,VI,orange,head,475,0
12,VI,orange,body,0,0
12,VI,purple,head,0,0
12,VI,purple,body,0,0
12,VI,red,head,0,0
12,VI,red,body,0,0
12,VI,yellow,head,0,0
12,VI,yellow,body,0,0
13,I,blue,head,0,0
13,I,blue,body,0,0
13,I,green,head,0,450
13,I,green,body,0,0
13,I,orange,head,0,2175
13,I,orange,body,0,17300
13,I,purple,head,0,3375
13,I,purple,body,0,0
13,I,red,head,0,400
13,I,red,body,0,0
13,I,yellow,head,0,11800
13,I,yellow,body,0,0
13,II,blue,head,2725,0
13,II,blue,body,0,0
13,II,green,head,0,10350
13,II,green,body,0,17000
13,II,orange,head,3275,4425
13,II,orange,body,0,0
13,II,purple,head,0,0
13,II,purple,body,0,0
13,II,red,head,9750,0
13,II,red,body,8550,0
13,II,yellow,head,0,550
13,II,yellow,body,0,0
13,III,blue,head,0,1750
13,III,blue,body,0,0
13,III,green,head,0,325
13,III,green,body,0,0
13,III,orange,head,0,8500
13,III,orange,body,0,0
13,III,purple,head,0,6425
13,III,purple,body,0,0
13,III,red,head,0,1175
13,III,red,body,0,0
13,III,yellow,head,0,9375
13,III,yellow,body,0,49500
13,IV,blue,head,0,0
13,IV,blue,body,0,0
13,IV,green,head,0,0
13,IV,green,body,0,0
13,IV,orange,head,0,0
13,IV,orange,body,0,0
13,IV,purple,head,0,0
13,IV,purple,body,0,0
13,IV,red,head,0,0
13,IV,red,body,0,0
13,IV,yellow,head,0,0
13,IV,yellow,body,0,0
13,V,blue,head,0,0
13,V,blue,body,0,0
13,V,green,head,2225,2625
13,V,green,body,0,0
13,V,orange,head,20650,675
13,V,orange,body,27900,0
13,V,purple,head,8350,1825
13,V,purple,body,0,0
13,V,red,head,0,12975
13,V,red,body,0,28700
13,V,yellow,head,0,325
13,V,yellow,body,425,0
13,VI,blue,head,0,925
13,VI,blue,body,0,13675
13,VI,green,head,10350,0
13,VI,green,body,0,0
13,VI,orange,head,17000,0
13,VI,orange,body,0,0
13,VI,purple,head,9025,4750
13,VI,purple,body,0,0
13,VI,red,head,3850,0
13,VI,red,body,10350,0
13,VI,yellow,head,250,550
13,VI,yellow,body,0,0
14,I,blue,head,600,16750
14,I,blue,body,0,10150
14,I,green,head,225,0
14,I,green,body,0,0
14,I,orange,head,675,1000
14,I,orange,body,0,0
14,I,purple,head,350,0
14,I,purple,body,0,0
14,I,red,head,1325,225
14,I,red,body,0,0
14,I,yellow,head,15050,0
14,I,yellow,body,32325,0
14,II,blue,head,0,6800
14,II,blue,body,0,0
14,II,green,head,0,7425
14,II,green,body,0,0
14,II,orange,head,0,0
14,II,orange,body,0,225
14,II,purple,head,0,0
14,II,purple,body,0,0
14,II,red,head,0,12925
14,II,red,body,0,0
14,II,yellow,head,0,12025
14,II,yellow,body,0,21200
14,III,blue,head,0,0
14,III,blue,body,0,0
14,III,green,head,0,0
14,III,green,body,0,0
14,III,orange,head,0,0
14,III,orange,body,0,0
14,III,purple,head,0,0
14,III,purple,body,0,0
14,III,red,head,0,0
14,III,red,body,0,0
14,III,yellow,head,0,0
14,III,yellow,body,0,0
14,IV,blue,head,0,4375
14,IV,blue,body,0,0
14,IV,green,head,0,275
14,IV,green,body,0,0
14,IV,orange,head,0,0
14,IV,orange,body,0,0
14,IV,purple,head,0,0
14,IV,purple,body,0,0
14,IV,red,head,0,9675
14,IV,red,body,0,2525
14,IV,yellow,head,0,225
14,IV,yellow,body,0,0
14,V,blue,head,1525,5175
14,V,blue,body,0,0
14,V,green,head,0,14175
14,V,green,body,0,23900
14,V,orange,head,5525,725
14,V,orange,body,4475,0
14,V,purple,head,1575,8300
14,V,purple,body,0,0
14,V,red,head,2150,8200
14,V,red,body,6800,0
14,V,yellow,head,550,0
14,V,yellow,body,0,0
14,VI,blue,head,500,12250
14,VI,blue,body,0,8900
14,VI,green,head,12250,325
14,VI,green,body,27975,0
14,VI,orange,head,200,3350
14,VI,orange,body,0,0
14,VI,purple,head,0,1125
14,VI,purple,body,250,0
14,VI,red,head,5025,675
14,VI,red,body,0,0
14,VI,yellow,head,2050,1575
14,VI,yellow,body,0,0
15,I,blue,head,0,850
15,I,blue,body,0,0
15,I,green,head,0,0
15,I,green,body,0,0
15,I,orange,head,0,9825
15,I,orange,body,0,325
15,I,purple,head,0,5900
15,I,purple,body,0,0
15,I,red,head,0,1575
15,I,red,body,0,6250
15,I,yellow,head,0,0
15,I,yellow,body,0,0
15,II,blue,head,5500,2950
15,II,blue,body,0,0
15,II,green,head,0,850
15,II,green,body,0,19650
15,II,orange,head,0,0
15,II,orange,body,0,0
15,II,purple,head,13075,0
15,II,purple,body,18275,0
15,II,red,head,2050,225
15,II,red,body,0,0
15,II,yellow,head,0,400
15,II,yellow,body,0,0
15,III,blue,head,0,0
15,III,blue,body,0,0
15,III,green,head,0,0
15,III,green,body,0,0
15,III,orange,head,0,0
15,III,orange,body,0,0
15,III,purple,head,0,0
15,III,purple,body,0,0
15,III,red,head,0,0
15,III,red,body,0,0
15,III,yellow,head,0,0
15,III,yellow,body,0,0
15,IV,blue,head,0,0
15,IV,blue,body,0,0
15,IV,green,head,0,0
15,IV,green,body,0,0
15,IV,orange,head,0,275
15,IV,orange,body,0,0
15,IV,purple,head,0,24350
15,IV,purple,body,0,0
15,IV,red,head,0,0
15,IV,red,body,0,0
15,IV,yellow,head,0,2650
15,IV,yellow,body,0,51500
15,V,blue,head,750,350
15,V,blue,body,275,300
15,V,green,head,0,0
15,V,green,body,0,450
15,V,orange,head,250,7725
15,V,orange,body,0,0
